id,prompt,expected,assessment,grader,system,task_type
1,"Classify the sentiment of this customer review as positive, negative, or mixed. Return only the label. Review: Five stars - the headphones arrived a day early and the sound is amazing. Battery lasts forever.",positive,exact_normalized,,"You are a precise sentiment classifier. Return only one label: positive, negative, or mixed.",sentiment
2,"Classify the sentiment of this customer review as positive, negative, or mixed. Return only the label. Review: Stopped working after three weeks. Charging port is loose and support hasn't replied in five days.",negative,exact_normalized,,"You are a precise sentiment classifier. Return only one label: positive, negative, or mixed.",sentiment
3,"Classify the sentiment of this customer review as positive, negative, or mixed. Return only the label. Review: Love the design and the camera, but the battery dies before lunch every single day.",mixed,exact_normalized,,"You are a precise sentiment classifier. Return only one label: positive, negative, or mixed.",sentiment
4,"Classify the sentiment of this customer review as positive, negative, or mixed. Return only the label. Review: Best purchase I've made all year. The fit is perfect and the fabric feels premium.",positive,exact_normalized,,"You are a precise sentiment classifier. Return only one label: positive, negative, or mixed.",sentiment
5,"Classify the sentiment of this customer review as positive, negative, or mixed. Return only the label. Review: Save your money. Sizing chart is wildly off and the return process is a nightmare.",negative,exact_normalized,,"You are a precise sentiment classifier. Return only one label: positive, negative, or mixed.",sentiment
6,"Classify the sentiment of this customer review as positive, negative, or mixed. Return only the label. Review: Great food, painfully slow service. Took 90 minutes for two entrees on a Tuesday night.",mixed,exact_normalized,,"You are a precise sentiment classifier. Return only one label: positive, negative, or mixed.",sentiment
7,"Classify the sentiment of this customer review as positive, negative, or mixed. Return only the label. Review: Switched from a competitor and I should have done it sooner. Setup took two minutes.",positive,exact_normalized,,"You are a precise sentiment classifier. Return only one label: positive, negative, or mixed.",sentiment
8,"Classify the sentiment of this customer review as positive, negative, or mixed. Return only the label. Review: Ordered a blue one, received a green one, and the box was crushed on arrival.",negative,exact_normalized,,"You are a precise sentiment classifier. Return only one label: positive, negative, or mixed.",sentiment
9,"Classify the sentiment of this customer review as positive, negative, or mixed. Return only the label. Review: The shoes are gorgeous and comfortable, but the laces snapped on day three.",mixed,exact_normalized,,"You are a precise sentiment classifier. Return only one label: positive, negative, or mixed.",sentiment
10,"Classify the sentiment of this customer review as positive, negative, or mixed. Return only the label. Review: The customer service rep stayed on the line for 40 minutes to fix my issue. Above and beyond.",positive,exact_normalized,,"You are a precise sentiment classifier. Return only one label: positive, negative, or mixed.",sentiment
11,"Classify the sentiment of this customer review as positive, negative, or mixed. Return only the label. Review: App crashes every time I try to log in on Android. Useless until they fix it.",negative,exact_normalized,,"You are a precise sentiment classifier. Return only one label: positive, negative, or mixed.",sentiment
12,"Classify the sentiment of this customer review as positive, negative, or mixed. Return only the label. Review: Coverage is excellent in the city, terrible in my apartment. Useless if you work from home.",mixed,exact_normalized,,"You are a precise sentiment classifier. Return only one label: positive, negative, or mixed.",sentiment
13,"Classify the sentiment of this customer review as positive, negative, or mixed. Return only the label. Review: App is fast, clean, and finally has dark mode that actually works at night.",positive,exact_normalized,,"You are a precise sentiment classifier. Return only one label: positive, negative, or mixed.",sentiment
