id,prompt,expected,expected_json,assessment,strict_fields,soft_fields,grader,system,task_type
1,Find all delivered orders for jane.doe@example.com.,delivered,"{""name"":""search_orders"",""arguments"":{""customer_email"":""jane.doe@example.com"",""status"":""delivered""}}",json_match,"name,arguments.customer_email,arguments.status",,,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
2,Show me everything pending for chris@acme.io.,search_orders,"{""name"":""search_orders"",""arguments"":{""customer_email"":""chris@acme.io"",""status"":""pending""}}",json_match,"name,arguments.customer_email,arguments.status",,,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
3,What orders did billing-test@shop.com cancel?,cancelled,"{""name"":""search_orders"",""arguments"":{""customer_email"":""billing-test@shop.com"",""status"":""cancelled""}}",json_match,"name,arguments.customer_email,arguments.status",,,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
4,List shipped items for marcus.lee@gmail.com.,search_orders,"{""name"":""search_orders"",""arguments"":{""customer_email"":""marcus.lee@gmail.com"",""status"":""shipped""}}",json_match,"name,arguments.customer_email,arguments.status",,,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
5,Look up pending purchases under hannah@startup.co — she's asking when they'll ship.,pending,"{""name"":""search_orders"",""arguments"":{""customer_email"":""hannah@startup.co"",""status"":""pending""}}",json_match,"name,arguments.customer_email,arguments.status",,,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
6,Refund order ORD-48291 in full ($129.99). Customer says product was defective.,ORD-48291,"{""name"":""refund_order"",""arguments"":{""order_id"":""ORD-48291"",""amount"":129.99,""reason"":""defective product""}}",json_match,"name,arguments.order_id,arguments.amount",arguments.reason,,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
7,Issue a $45 refund for ORD-71103 because the shipment was a week late.,refund_order,"{""name"":""refund_order"",""arguments"":{""order_id"":""ORD-71103"",""amount"":45.0,""reason"":""late shipment""}}",json_match,"name,arguments.order_id,arguments.amount",arguments.reason,,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
8,Customer wants money back for order ORD-99201 — they never received it.,ORD-99201,"{""name"":""refund_order"",""arguments"":{""order_id"":""ORD-99201"",""amount"":null,""reason"":""never received""}}",json_match,"name,arguments.order_id,arguments.amount","arguments.reason,arguments.amount",,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
9,Process a refund of 200 USD on ORD-55520. Reason: duplicate charge.,refund_order,"{""name"":""refund_order"",""arguments"":{""order_id"":""ORD-55520"",""amount"":200.0,""reason"":""duplicate charge""}}",json_match,"name,arguments.order_id,arguments.amount",arguments.reason,,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
10,Order ORD-30015 arrived damaged. Refund the customer fully — total was $87.50.,ORD-30015,"{""name"":""refund_order"",""arguments"":{""order_id"":""ORD-30015"",""amount"":87.5,""reason"":""damaged order""}}",json_match,"name,arguments.order_id,arguments.amount",arguments.reason,,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
11,"Change ship-to for ORD-44400 to 1024 Pine St, Austin, 78701.",ORD-44400,"{""name"":""update_shipping_address"",""arguments"":{""order_id"":""ORD-44400"",""street"":""1024 Pine St"",""city"":""Austin"",""zip"":""78701""}}",json_match,"name,arguments.order_id,arguments.street,arguments.city,arguments.zip",,,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
12,"Customer moved — update order ORD-67812 to 88 Maple Ave, Brooklyn, 11201.",update_shipping_address,"{""name"":""update_shipping_address"",""arguments"":{""order_id"":""ORD-67812"",""street"":""88 Maple Ave"",""city"":""Brooklyn"",""zip"":""11201""}}",json_match,"name,arguments.order_id,arguments.street,arguments.city,arguments.zip",,,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
