id,prompt,expected,assessment,grader,system,task_type,steps
1,"Maria buys 8 apples at $0.75 each. She pays with a $10 bill. How much change does she receive?",final answer:\s*\$?4(?:\.0+)?(?![\d.]),regex,,"You are a careful math reasoner. Solve the problem step by step, showing your work. End your response with exactly one line in the format: Final answer: <number>. The number must be plain digits without commas, currency symbols, or unit labels.",reasoning,2
2,"Jin had 24 candies. She gave one-third of them to her brother and ate 2 herself. How many candies does she have left?",final answer:\s*14(?:\.0+)?(?![\d.]),regex,,"You are a careful math reasoner. Solve the problem step by step, showing your work. End your response with exactly one line in the format: Final answer: <number>. The number must be plain digits without commas, currency symbols, or unit labels.",reasoning,2
3,"A movie theater has 15 rows with 12 seats each. If 145 seats are taken, how many seats are empty?",final answer:\s*35(?:\.0+)?(?![\d.]),regex,,"You are a careful math reasoner. Solve the problem step by step, showing your work. End your response with exactly one line in the format: Final answer: <number>. The number must be plain digits without commas, currency symbols, or unit labels.",reasoning,2
4,"Tom runs 5 km every weekday (Monday through Friday). How many km does he run in 3 weeks?",final answer:\s*75(?:\.0+)?(?![\d.]),regex,,"You are a careful math reasoner. Solve the problem step by step, showing your work. End your response with exactly one line in the format: Final answer: <number>. The number must be plain digits without commas, currency symbols, or unit labels.",reasoning,2
5,"A book has 240 pages. Sarah reads 30 pages a day. After 5 days, how many pages does she have left to read?",final answer:\s*90(?:\.0+)?(?![\d.]),regex,,"You are a careful math reasoner. Solve the problem step by step, showing your work. End your response with exactly one line in the format: Final answer: <number>. The number must be plain digits without commas, currency symbols, or unit labels.",reasoning,2
6,"A shirt is on sale for 20% off its $45 original price. What is the sale price in dollars?",final answer:\s*\$?36(?:\.0+)?(?![\d.]),regex,,"You are a careful math reasoner. Solve the problem step by step, showing your work. End your response with exactly one line in the format: Final answer: <number>. The number must be plain digits without commas, currency symbols, or unit labels.",reasoning,2
7,"A car travels at 60 mph for 2.5 hours then 45 mph for 1 hour. What is the total distance in miles?",final answer:\s*195(?:\.0+)?(?![\d.]),regex,,"You are a careful math reasoner. Solve the problem step by step, showing your work. End your response with exactly one line in the format: Final answer: <number>. The number must be plain digits without commas, currency symbols, or unit labels.",reasoning,2
8,"A package weighs 3.5 kg. Shipping costs $4 per kg plus a flat $2 handling fee. What is the total shipping cost in dollars?",final answer:\s*\$?16(?:\.0+)?(?![\d.]),regex,,"You are a careful math reasoner. Solve the problem step by step, showing your work. End your response with exactly one line in the format: Final answer: <number>. The number must be plain digits without commas, currency symbols, or unit labels.",reasoning,2
9,"A train leaves the station at 2:15 PM and arrives at 5:45 PM the same day. How many minutes is the trip?",final answer:\s*210(?:\.0+)?(?![\d.]),regex,,"You are a careful math reasoner. Solve the problem step by step, showing your work. End your response with exactly one line in the format: Final answer: <number>. The number must be plain digits without commas, currency symbols, or unit labels.",reasoning,2
10,"A printer prints 8 pages per minute. How many pages does it print in 1 hour and 15 minutes?",final answer:\s*600(?:\.0+)?(?![\d.]),regex,,"You are a careful math reasoner. Solve the problem step by step, showing your work. End your response with exactly one line in the format: Final answer: <number>. The number must be plain digits without commas, currency symbols, or unit labels.",reasoning,2
11,"A bakery sells cookies for $2 each and brownies for $3 each. On Monday they sold 50 cookies and 30 brownies. What was the total revenue in dollars?",final answer:\s*\$?190(?:\.0+)?(?![\d.]),regex,,"You are a careful math reasoner. Solve the problem step by step, showing your work. End your response with exactly one line in the format: Final answer: <number>. The number must be plain digits without commas, currency symbols, or unit labels.",reasoning,3
12,"Jess earns $15 per hour. She worked 8 hours Monday, 6 hours Tuesday, and 4 hours Wednesday. How much did she earn over those three days in dollars?",final answer:\s*\$?270(?:\.0+)?(?![\d.]),regex,,"You are a careful math reasoner. Solve the problem step by step, showing your work. End your response with exactly one line in the format: Final answer: <number>. The number must be plain digits without commas, currency symbols, or unit labels.",reasoning,3
13,"Three friends split an $84 dinner bill equally. Each then adds a 15% tip on their individual share. How much does each person pay in total in dollars?",final answer:\s*\$?32\.20*(?!\d),regex,,"You are a careful math reasoner. Solve the problem step by step, showing your work. End your response with exactly one line in the format: Final answer: <number>. The number must be plain digits without commas, currency symbols, or unit labels.",reasoning,3
14,"A factory makes 240 widgets per hour. It runs 8 hours a day, 5 days a week. How many widgets does it produce in 4 weeks?",final answer:\s*38400(?:\.0+)?(?![\d.]),regex,,"You are a careful math reasoner. Solve the problem step by step, showing your work. End your response with exactly one line in the format: Final answer: <number>. The number must be plain digits without commas, currency symbols, or unit labels.",reasoning,3
15,"Lin bought 3 books at $12 each and 2 notebooks at $4.50 each. She paid with a $50 bill. How much change did she receive in dollars?",final answer:\s*\$?5(?:\.0+)?(?![\d.]),regex,,"You are a careful math reasoner. Solve the problem step by step, showing your work. End your response with exactly one line in the format: Final answer: <number>. The number must be plain digits without commas, currency symbols, or unit labels.",reasoning,3
16,"Maya is 3 years older than Liam. In 5 years, the sum of their ages will be 33. How old is Maya now?",final answer:\s*13(?:\.0+)?(?![\d.]),regex,,"You are a careful math reasoner. Solve the problem step by step, showing your work. End your response with exactly one line in the format: Final answer: <number>. The number must be plain digits without commas, currency symbols, or unit labels.",reasoning,3
17,"A water tank holds 200 liters. Each day it loses 5% of its current water. How many liters remain after exactly 2 days?",final answer:\s*180\.50*(?!\d),regex,,"You are a careful math reasoner. Solve the problem step by step, showing your work. End your response with exactly one line in the format: Final answer: <number>. The number must be plain digits without commas, currency symbols, or unit labels.",reasoning,3
18,"A car uses 1 gallon of gas per 25 miles driven. Sam drives 50 miles to work and 50 miles back each day. Over 5 days, how many gallons does he use?",final answer:\s*20(?:\.0+)?(?![\d.]),regex,,"You are a careful math reasoner. Solve the problem step by step, showing your work. End your response with exactly one line in the format: Final answer: <number>. The number must be plain digits without commas, currency symbols, or unit labels.",reasoning,3
19,"A pizza restaurant has 4 sizes priced at $8, $12, $16, and $20. On Tuesday they sold 15 small, 22 medium, 18 large, and 9 XL. What was Tuesday's total revenue in dollars?",final answer:\s*\$?852(?:\.0+)?(?![\d.]),regex,,"You are a careful math reasoner. Solve the problem step by step, showing your work. End your response with exactly one line in the format: Final answer: <number>. The number must be plain digits without commas, currency symbols, or unit labels.",reasoning,3
20,"A class of 28 students goes on a field trip. Each bus holds 12 students. The school must rent the minimum number of buses needed to fit everyone. If each bus rental costs $80, what is the total bus cost in dollars?",final answer:\s*\$?240(?:\.0+)?(?![\d.]),regex,,"You are a careful math reasoner. Solve the problem step by step, showing your work. End your response with exactly one line in the format: Final answer: <number>. The number must be plain digits without commas, currency symbols, or unit labels.",reasoning,3
21,"A store offers 25% off, then an additional 10% off the already-discounted price. A jacket originally costs $80. What is the final price in dollars after both discounts?",final answer:\s*\$?54(?:\.0+)?(?![\d.]),regex,,"You are a careful math reasoner. Solve the problem step by step, showing your work. End your response with exactly one line in the format: Final answer: <number>. The number must be plain digits without commas, currency symbols, or unit labels.",reasoning,4
22,"Container A holds 8 liters. Container B holds twice as much as A. Container C holds 1.5 times as much as B. Containers D and E together hold the same total as A plus B plus C combined. If D and E hold equal amounts, how many liters does D hold?",final answer:\s*24(?:\.0+)?(?![\d.]),regex,,"You are a careful math reasoner. Solve the problem step by step, showing your work. End your response with exactly one line in the format: Final answer: <number>. The number must be plain digits without commas, currency symbols, or unit labels.",reasoning,4
23,"Three workers can paint 12 fences in 4 days. Assuming uniform productivity per worker, how many days would 5 workers need to paint 25 fences?",final answer:\s*5(?:\.0+)?(?![\d.]),regex,,"You are a careful math reasoner. Solve the problem step by step, showing your work. End your response with exactly one line in the format: Final answer: <number>. The number must be plain digits without commas, currency symbols, or unit labels.",reasoning,4
24,"A monthly budget allocates 30% to rent, 20% to food, 15% to transport, 10% to savings, and the remainder to 'other'. If the 'other' category is $750, what is the total monthly budget in dollars?",final answer:\s*\$?3000(?:\.0+)?(?![\d.]),regex,,"You are a careful math reasoner. Solve the problem step by step, showing your work. End your response with exactly one line in the format: Final answer: <number>. The number must be plain digits without commas, currency symbols, or unit labels.",reasoning,4
25,"A pool is 24 meters long, 10 meters wide, and 2 meters deep on average. A pump fills it at 500 liters per minute. Note that 1 cubic meter equals 1000 liters. How many hours does it take to fill the pool from empty?",final answer:\s*16(?:\.0+)?(?![\d.]),regex,,"You are a careful math reasoner. Solve the problem step by step, showing your work. End your response with exactly one line in the format: Final answer: <number>. The number must be plain digits without commas, currency symbols, or unit labels.",reasoning,4
26,"A subscription is $9.99 per month if paid monthly, with a one-time $15 signup fee. The same subscription is $7.99 per month if paid annually (a $2 discount per month) with no signup fee. Over one full year, how many dollars do you save by choosing the annual plan instead of monthly?",final answer:\s*\$?39(?:\.0+)?(?![\d.]),regex,,"You are a careful math reasoner. Solve the problem step by step, showing your work. End your response with exactly one line in the format: Final answer: <number>. The number must be plain digits without commas, currency symbols, or unit labels.",reasoning,4
27,"A recipe needs 1.5 cups of flour per dozen cookies. You start with 6 cups of flour and use 1 cup for bread and 0.5 cups for muffins before baking cookies. How many full dozens of cookies can you make with the remaining flour?",final answer:\s*3(?:\.0+)?(?![\d.]),regex,,"You are a careful math reasoner. Solve the problem step by step, showing your work. End your response with exactly one line in the format: Final answer: <number>. The number must be plain digits without commas, currency symbols, or unit labels.",reasoning,4
28,"Two trains leave the same station at the same time heading in opposite directions. Train A goes 60 mph for the first 2 hours then increases to 75 mph for the rest of the trip. Train B goes 45 mph the whole time. After exactly 5 hours from start, how many miles apart are they?",final answer:\s*570(?:\.0+)?(?![\d.]),regex,,"You are a careful math reasoner. Solve the problem step by step, showing your work. End your response with exactly one line in the format: Final answer: <number>. The number must be plain digits without commas, currency symbols, or unit labels.",reasoning,4
29,"Anna saves $50 in week 1. Each subsequent week she saves $10 more than the previous week. How many dollars does she save in total over 6 weeks?",final answer:\s*\$?450(?:\.0+)?(?![\d.]),regex,,"You are a careful math reasoner. Solve the problem step by step, showing your work. End your response with exactly one line in the format: Final answer: <number>. The number must be plain digits without commas, currency symbols, or unit labels.",reasoning,4
30,"A photo is 1200 pixels wide and 800 pixels tall. You scale it so its width matches exactly a 6-inch wide print at 300 dpi (pixels per inch). The scaled image is saved at 24 bits per pixel. What is the final file size in megabytes? Use 8 bits = 1 byte and 1 MB = 1000000 bytes.",final answer:\s*6\.480*(?!\d),regex,,"You are a careful math reasoner. Solve the problem step by step, showing your work. End your response with exactly one line in the format: Final answer: <number>. The number must be plain digits without commas, currency symbols, or unit labels.",reasoning,5
